2025-08-10 13:23:51.843 - SignalR Publisher Starting...
2025-08-10 13:24:42.142 - Connecting to SignalR hub at http://localhost:8081/signalr
2025-08-10 13:24:42.864 - Connected to SignalR hub
2025-08-10 13:24:43.875 - Starting warm-up phase with 100 messages
2025-08-10 13:24:44.222 - Sent 100 WARMUP messages...
2025-08-10 13:24:44.222 - Completed sending all 100 WARMUP messages
2025-08-10 13:24:44.222 - Warm-up phase completed
2025-08-10 13:24:46.235 - Starting performance test with 10000 messages
2025-08-10 13:24:46.376 - Sent 100 TEST messages...
2025-08-10 13:24:46.502 - Sent 200 TEST messages...
2025-08-10 13:24:46.628 - Sent 300 TEST messages...
2025-08-10 13:24:46.755 - Sent 400 TEST messages...
2025-08-10 13:24:46.882 - Sent 500 TEST messages...
2025-08-10 13:24:47.008 - Sent 600 TEST messages...
2025-08-10 13:24:47.135 - Sent 700 TEST messages...
2025-08-10 13:24:47.262 - Sent 800 TEST messages...
2025-08-10 13:24:47.388 - Sent 900 TEST messages...
2025-08-10 13:24:47.530 - Sent 1000 TEST messages...
2025-08-10 13:24:47.656 - Sent 1100 TEST messages...
2025-08-10 13:24:47.830 - Sent 1200 TEST messages...
2025-08-10 13:24:47.957 - Sent 1300 TEST messages...
2025-08-10 13:24:48.083 - Sent 1400 TEST messages...
2025-08-10 13:24:48.209 - Sent 1500 TEST messages...
2025-08-10 13:24:48.335 - Sent 1600 TEST messages...
2025-08-10 13:24:48.461 - Sent 1700 TEST messages...
2025-08-10 13:24:48.588 - Sent 1800 TEST messages...
2025-08-10 13:24:48.715 - Sent 1900 TEST messages...
2025-08-10 13:24:48.842 - Sent 2000 TEST messages...
2025-08-10 13:24:48.970 - Sent 2100 TEST messages...
2025-08-10 13:24:49.098 - Sent 2200 TEST messages...
2025-08-10 13:24:49.226 - Sent 2300 TEST messages...
2025-08-10 13:24:49.352 - Sent 2400 TEST messages...
2025-08-10 13:24:49.478 - Sent 2500 TEST messages...
2025-08-10 13:24:49.605 - Sent 2600 TEST messages...
2025-08-10 13:24:49.733 - Sent 2700 TEST messages...
2025-08-10 13:24:49.860 - Sent 2800 TEST messages...
2025-08-10 13:24:49.986 - Sent 2900 TEST messages...
2025-08-10 13:24:50.112 - Sent 3000 TEST messages...
2025-08-10 13:24:50.254 - Sent 3100 TEST messages...
2025-08-10 13:24:50.381 - Sent 3200 TEST messages...
2025-08-10 13:24:50.523 - Sent 3300 TEST messages...
2025-08-10 13:24:50.649 - Sent 3400 TEST messages...
2025-08-10 13:24:50.804 - Sent 3500 TEST messages...
2025-08-10 13:24:50.945 - Sent 3600 TEST messages...
2025-08-10 13:24:51.071 - Sent 3700 TEST messages...
2025-08-10 13:24:51.214 - Sent 3800 TEST messages...
2025-08-10 13:24:51.341 - Sent 3900 TEST messages...
2025-08-10 13:24:51.467 - Sent 4000 TEST messages...
2025-08-10 13:24:51.594 - Sent 4100 TEST messages...
2025-08-10 13:24:51.720 - Sent 4200 TEST messages...
2025-08-10 13:24:51.895 - Sent 4300 TEST messages...
2025-08-10 13:24:52.021 - Sent 4400 TEST messages...
2025-08-10 13:24:52.148 - Sent 4500 TEST messages...
2025-08-10 13:24:52.275 - Sent 4600 TEST messages...
2025-08-10 13:24:52.401 - Sent 4700 TEST messages...
2025-08-10 13:24:52.527 - Sent 4800 TEST messages...
2025-08-10 13:24:52.669 - Sent 4900 TEST messages...
2025-08-10 13:24:52.795 - Sent 5000 TEST messages...
2025-08-10 13:24:52.922 - Sent 5100 TEST messages...
2025-08-10 13:24:53.050 - Sent 5200 TEST messages...
2025-08-10 13:24:53.176 - Sent 5300 TEST messages...
2025-08-10 13:24:53.318 - Sent 5400 TEST messages...
2025-08-10 13:24:53.458 - Sent 5500 TEST messages...
2025-08-10 13:24:53.584 - Sent 5600 TEST messages...
2025-08-10 13:24:53.711 - Sent 5700 TEST messages...
2025-08-10 13:24:53.838 - Sent 5800 TEST messages...
2025-08-10 13:24:53.965 - Sent 5900 TEST messages...
2025-08-10 13:24:54.093 - Sent 6000 TEST messages...
2025-08-10 13:24:54.219 - Sent 6100 TEST messages...
2025-08-10 13:24:54.361 - Sent 6200 TEST messages...
2025-08-10 13:24:54.488 - Sent 6300 TEST messages...
2025-08-10 13:24:54.615 - Sent 6400 TEST messages...
2025-08-10 13:24:54.741 - Sent 6500 TEST messages...
2025-08-10 13:24:54.868 - Sent 6600 TEST messages...
2025-08-10 13:24:54.995 - Sent 6700 TEST messages...
2025-08-10 13:24:55.137 - Sent 6800 TEST messages...
2025-08-10 13:24:55.263 - Sent 6900 TEST messages...
2025-08-10 13:24:55.390 - Sent 7000 TEST messages...
2025-08-10 13:24:55.533 - Sent 7100 TEST messages...
2025-08-10 13:24:55.660 - Sent 7200 TEST messages...
2025-08-10 13:24:55.787 - Sent 7300 TEST messages...
2025-08-10 13:24:55.914 - Sent 7400 TEST messages...
2025-08-10 13:24:56.040 - Sent 7500 TEST messages...
2025-08-10 13:24:56.166 - Sent 7600 TEST messages...
2025-08-10 13:24:56.309 - Sent 7700 TEST messages...
2025-08-10 13:24:56.436 - Sent 7800 TEST messages...
2025-08-10 13:24:56.562 - Sent 7900 TEST messages...
2025-08-10 13:24:56.688 - Sent 8000 TEST messages...
2025-08-10 13:24:56.813 - Sent 8100 TEST messages...
2025-08-10 13:24:56.940 - Sent 8200 TEST messages...
2025-08-10 13:24:57.082 - Sent 8300 TEST messages...
2025-08-10 13:24:57.208 - Sent 8400 TEST messages...
2025-08-10 13:24:57.335 - Sent 8500 TEST messages...
2025-08-10 13:24:57.462 - Sent 8600 TEST messages...
2025-08-10 13:24:57.589 - Sent 8700 TEST messages...
2025-08-10 13:24:57.717 - Sent 8800 TEST messages...
2025-08-10 13:24:57.842 - Sent 8900 TEST messages...
2025-08-10 13:24:57.971 - Sent 9000 TEST messages...
2025-08-10 13:24:58.097 - Sent 9100 TEST messages...
2025-08-10 13:24:58.239 - Sent 9200 TEST messages...
2025-08-10 13:24:58.366 - Sent 9300 TEST messages...
2025-08-10 13:24:58.493 - Sent 9400 TEST messages...
2025-08-10 13:24:58.619 - Sent 9500 TEST messages...
2025-08-10 13:24:58.746 - Sent 9600 TEST messages...
2025-08-10 13:24:58.873 - Sent 9700 TEST messages...
2025-08-10 13:24:59.000 - Sent 9800 TEST messages...
2025-08-10 13:24:59.126 - Sent 9900 TEST messages...
2025-08-10 13:24:59.253 - Sent 10000 TEST messages...
2025-08-10 13:24:59.253 - Completed sending all 10000 TEST messages
2025-08-10 13:24:59.253 - Performance test completed in 13018ms
2025-08-10 13:24:59.253 - Throughput: 768.15 messages/second
2025-08-10 13:24:59.253 - Waiting for subscriber to process all messages...
