Id,SentTime,ReceivedTime,LatencyMs
0,2025-08-07T11:54:38.1930456Z,2025-08-07T11:54:38.3795886Z,186.5430
1,2025-08-07T11:54:38.2099486Z,2025-08-07T11:54:38.3825965Z,172.6479
2,2025-08-07T11:54:38.2104555Z,2025-08-07T11:54:38.3825965Z,172.1410
3,2025-08-07T11:54:38.2144490Z,2025-08-07T11:54:38.3825965Z,168.1475
4,2025-08-07T11:54:38.2185135Z,2025-08-07T11:54:38.3825965Z,164.0830
5,2025-08-07T11:54:38.2207825Z,2025-08-07T11:54:38.3825965Z,161.8140
6,2025-08-07T11:54:38.2217893Z,2025-08-07T11:54:38.3825965Z,160.8072
7,2025-08-07T11:54:38.2217893Z,2025-08-07T11:54:38.3825965Z,160.8072
8,2025-08-07T11:54:38.2227973Z,2025-08-07T11:54:38.3825965Z,159.7992
9,2025-08-07T11:54:38.2227973Z,2025-08-07T11:54:38.3825965Z,159.7992
10,2025-08-07T11:54:38.2227973Z,2025-08-07T11:54:38.3825965Z,159.7992
11,2025-08-07T11:54:38.2227973Z,2025-08-07T11:54:38.3825965Z,159.7992
12,2025-08-07T11:54:38.2243032Z,2025-08-07T11:54:38.3825965Z,158.2933
13,2025-08-07T11:54:38.2243032Z,2025-08-07T11:54:38.3825965Z,158.2933
14,2025-08-07T11:54:38.2574192Z,2025-08-07T11:54:38.3825965Z,125.1773
15,2025-08-07T11:54:38.2584310Z,2025-08-07T11:54:38.3825965Z,124.1655
16,2025-08-07T11:54:38.2594295Z,2025-08-07T11:54:38.3825965Z,123.1670
17,2025-08-07T11:54:38.2594295Z,2025-08-07T11:54:38.3841007Z,124.6712
18,2025-08-07T11:54:38.2604301Z,2025-08-07T11:54:38.3841007Z,123.6706
19,2025-08-07T11:54:38.2604301Z,2025-08-07T11:54:38.3841007Z,123.6706
20,2025-08-07T11:54:38.2614302Z,2025-08-07T11:54:38.3841007Z,122.6705
21,2025-08-07T11:54:38.2614302Z,2025-08-07T11:54:38.3841007Z,122.6705
22,2025-08-07T11:54:38.2624285Z,2025-08-07T11:54:38.3841007Z,121.6722
23,2025-08-07T11:54:38.2624285Z,2025-08-07T11:54:38.3841007Z,121.6722
24,2025-08-07T11:54:38.2624285Z,2025-08-07T11:54:38.3841007Z,121.6722
25,2025-08-07T11:54:38.2638906Z,2025-08-07T11:54:38.3841007Z,120.2101
26,2025-08-07T11:54:38.2643968Z,2025-08-07T11:54:38.3841007Z,119.7039
27,2025-08-07T11:54:38.2643968Z,2025-08-07T11:54:38.3841007Z,119.7039
28,2025-08-07T11:54:38.2654068Z,2025-08-07T11:54:38.3841007Z,118.6939
29,2025-08-07T11:54:38.2654068Z,2025-08-07T11:54:38.3841007Z,118.6939
30,2025-08-07T11:54:38.2654068Z,2025-08-07T11:54:38.3841007Z,118.6939
31,2025-08-07T11:54:38.2668789Z,2025-08-07T11:54:38.3841007Z,117.2218
32,2025-08-07T11:54:38.2668789Z,2025-08-07T11:54:38.3841007Z,117.2218
33,2025-08-07T11:54:38.2679139Z,2025-08-07T11:54:38.3841007Z,116.1868
34,2025-08-07T11:54:38.2679139Z,2025-08-07T11:54:38.3841007Z,116.1868
