2025-08-17 01:15:17.277 - TCP Socket Publisher Starting (simulating WebSocket)...
2025-08-17 01:15:23.846 - Connecting to TCP server at localhost:8080
2025-08-17 01:15:23.875 - Connected to TCP server
2025-08-17 01:15:24.888 - Creating 100 warm-up messages
2025-08-17 01:15:24.889 - Starting warm-up phase with 100 messages
2025-08-17 01:15:25.072 - Sent 100 WARMUP messages...
2025-08-17 01:15:25.072 - Completed sending all 100 WARMUP messages
2025-08-17 01:15:25.072 - Warm-up phase completed
2025-08-17 01:15:27.074 - Creating 10000 test messages
2025-08-17 01:15:27.079 - All 10000 test messages created, starting to send...
2025-08-17 01:15:27.079 - Starting performance test with 10000 messages
2025-08-17 01:15:27.120 - Sent 100 TEST messages...
2025-08-17 01:15:27.152 - Sent 200 TEST messages...
2025-08-17 01:15:27.183 - Sent 300 TEST messages...
2025-08-17 01:15:27.215 - Sent 400 TEST messages...
2025-08-17 01:15:27.246 - Sent 500 TEST messages...
2025-08-17 01:15:27.277 - Sent 600 TEST messages...
2025-08-17 01:15:27.308 - Sent 700 TEST messages...
2025-08-17 01:15:27.339 - Sent 800 TEST messages...
2025-08-17 01:15:27.371 - Sent 900 TEST messages...
2025-08-17 01:15:27.403 - Sent 1000 TEST messages...
2025-08-17 01:15:27.434 - Sent 1100 TEST messages...
2025-08-17 01:15:27.466 - Sent 1200 TEST messages...
2025-08-17 01:15:27.498 - Sent 1300 TEST messages...
2025-08-17 01:15:27.531 - Sent 1400 TEST messages...
2025-08-17 01:15:27.562 - Sent 1500 TEST messages...
2025-08-17 01:15:27.608 - Sent 1600 TEST messages...
2025-08-17 01:15:27.653 - Sent 1700 TEST messages...
2025-08-17 01:15:27.683 - Sent 1800 TEST messages...
2025-08-17 01:15:27.715 - Sent 1900 TEST messages...
2025-08-17 01:15:27.745 - Sent 2000 TEST messages...
2025-08-17 01:15:27.777 - Sent 2100 TEST messages...
2025-08-17 01:15:27.809 - Sent 2200 TEST messages...
2025-08-17 01:15:27.839 - Sent 2300 TEST messages...
2025-08-17 01:15:27.870 - Sent 2400 TEST messages...
2025-08-17 01:15:27.902 - Sent 2500 TEST messages...
2025-08-17 01:15:27.933 - Sent 2600 TEST messages...
2025-08-17 01:15:27.966 - Sent 2700 TEST messages...
2025-08-17 01:15:27.997 - Sent 2800 TEST messages...
2025-08-17 01:15:28.027 - Sent 2900 TEST messages...
2025-08-17 01:15:28.057 - Sent 3000 TEST messages...
2025-08-17 01:15:28.088 - Sent 3100 TEST messages...
2025-08-17 01:15:28.121 - Sent 3200 TEST messages...
2025-08-17 01:15:28.152 - Sent 3300 TEST messages...
2025-08-17 01:15:28.183 - Sent 3400 TEST messages...
2025-08-17 01:15:28.215 - Sent 3500 TEST messages...
2025-08-17 01:15:28.246 - Sent 3600 TEST messages...
